City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,banda aceh,5.5577,95.3222,28.42,78,100,10.57,ID,1689526825
283,ponta delgada,37.7333,-25.6667,22.4,64,40,5.66,PT,1689527307
284,nieuw amsterdam,5.8833,-55.0833,33.01,58,40,2.06,SR,1689527308
285,coquimbo,-29.9533,-71.3436,13.85,88,0,4.63,CL,1689527232
286,kangding,30.0513,101.9603,13.47,92,86,0.51,CN,1689527308
287,tselinnoye,53.0833,85.6667,15.02,96,100,1.04,RU,1689527308
288,radzyn podlaski,51.7833,22.6167,26.73,56,63,7.81,PL,1689527043
289,atafu village,-8.5421,-172.5159,28.31,74,99,5.82,TK,1689527308
290,greymouth,-42.4667,171.2,7.6,89,90,0.92,NZ,1689527309
291,vorgashor,67.5833,63.95,16.35,79,91,2.55,RU,1689527309
292,rovaniemi,66.5,25.7167,20.67,52,0,1.54,FI,1689527309
293,sola,-13.8833,167.55,25.24,83,86,11.6,VU,1689527309
294,swartz creek,42.9572,-83.8305,27.51,60,40,6.17,US,1689527309
295,port hedland,-20.3167,118.5667,15.03,41,0,3.09,AU,1689527310
296,ostersund,63.1792,14.6357,18.67,34,20,10.73,SE,1689527310
297,kimbe,-5.5502,150.1429,24.76,88,70,2.59,PG,1689527310
298,guerrero negro,27.9769,-114.0611,23.98,64,93,3.52,MX,1689527310
299,siwa oasis,29.2041,25.5195,39.7,16,0,8.74,EG,1689527310
300,majene,-3.5403,118.9707,24.7,89,59,5.86,ID,1689527311
301,iquique,-20.2208,-70.1431,19.02,67,30,3.35,CL,1689527247
302,linqiong,30.4159,103.4609,23.9,76,60,1.42,CN,1689527311
303,qacha's nek,-30.1154,28.6894,7.56,47,0,2.03,LS,1689527311
304,devils lake,48.1128,-98.8651,17.06,60,75,7.72,US,1689527311
305,simanggang,1.2472,111.4528,23.37,95,97,0.68,MY,1689527312
306,ketchikan,55.3422,-131.6461,17.26,82,75,3.09,US,1689527313
307,ghat,24.9647,10.1728,37.22,6,11,7.43,LY,1689527313
308,plastun,44.7561,136.2939,14.37,93,100,0.67,RU,1689527313
309,kotsyubyns'ke,50.4884,30.3296,26.86,55,20,0.31,UA,1689527313
310,arkhangel'sk,64.5401,40.5433,20.09,64,65,0.35,RU,1689527313
311,gryazovets,58.88,40.2525,18.83,72,97,1.25,RU,1689527313
312,arenapolis,-14.4503,-56.8461,36.34,22,6,0.94,BR,1689527314
313,capayan,-28.761,-66.0502,16.28,42,1,2.59,AR,1689527314
314,vwawa,-9.1167,32.9333,13.59,71,5,2.83,TZ,1689527314
315,olyokminsk,60.3736,120.4264,8.89,71,4,1.35,RU,1689527314
316,queenstown,-31.8976,26.8753,11.49,42,3,1.44,ZA,1689527314
317,aleksandrovsk-sakhalinskiy,50.8975,142.1561,13.75,92,100,2.07,RU,1689527314
318,broome,42.2506,-75.833,27.23,74,75,4.12,US,1689527315
319,vardenis,40.1827,45.7311,13.8,91,89,2.13,AM,1689527315
320,katsuura,35.1333,140.3,24.5,95,100,3.65,JP,1689527315
321,jamaame,0.0697,42.745,24.48,78,98,5.81,SO,1689527315
322,leteri,24.05,77.4,25.39,86,41,3.2,IN,1689527315
323,kruisfontein,-34.0033,24.7314,13.27,53,79,1.82,ZA,1689527315
324,sokhumi,43.0033,41.0153,20.13,86,16,1.31,GE,1689527316
325,ancud,-41.8697,-73.8203,6.31,72,5,4.27,CL,1689527316
326,warmbaths,-24.8833,28.2833,14.48,29,1,0.57,ZA,1689527316
327,carupano,10.6678,-63.2585,30.2,65,13,6.06,VE,1689527316
328,goianesia,-15.3175,-49.1175,33.81,21,11,1.73,BR,1689527186
329,panauti,27.5814,85.5124,22.18,94,75,1.54,NP,1689527316
330,carnarvon,-24.8667,113.6333,16.43,57,0,5.79,AU,1689527317
331,canutama,-6.5339,-64.3831,35.06,39,41,1.76,BR,1689527317
332,nizhnesortymskiy,62.4397,71.7603,15.69,60,32,3.24,RU,1689527060
333,kolondieba,11.0882,-6.8926,28.69,68,90,1.4,ML,1689527317
334,zhezqazghan,47.7833,67.7667,30.74,22,97,1.22,KZ,1689527317
335,oak hill,37.9723,-81.1487,25.75,67,77,3.98,US,1689527118
336,wewak,-3.5534,143.6268,25.95,87,46,0.67,PG,1689527317
337,mirnyy,62.5353,113.9611,9.02,70,58,0.89,RU,1689527317
338,tinghir,31.5157,-5.5343,34.86,5,0,5.16,MA,1689527318
339,sisimiut,66.9395,-53.6735,7.28,90,100,1.22,GL,1689527318
340,pionerskiy,54.9508,20.2275,22.08,73,93,5.6,RU,1689527318
341,garachico,28.7781,-17.7646,24.16,69,20,7.72,ES,1689527318
342,burang,30.25,81.1667,12.19,76,59,2.25,CN,1689527318
343,dunedin,-45.8742,170.5036,10.45,50,69,4.14,NZ,1689527318
344,lata,40.1629,-8.3327,21.15,39,49,5.2,PT,1689527318
345,rongelap,11.1635,166.8941,28.25,78,97,6.77,MH,1689527319
346,balqash,46.8481,74.995,24.8,42,1,2.77,KZ,1689527319
347,dangriga,16.9692,-88.2321,28.37,83,100,5.67,BZ,1689527319
348,lake albert,-35.1667,147.3833,5.21,96,0,1.49,AU,1689527319
349,kawm umbu,24.4767,32.9463,38.86,8,1,4.79,EG,1689527319
350,cassilandia,-19.1133,-51.7342,31.47,28,25,1.52,BR,1689527319
351,al jawf,29.5,38.75,37.55,9,1,1.01,SA,1689527319
352,santarem,-2.4431,-54.7083,31.07,70,20,5.66,BR,1689527320
353,saint-pierre,-21.3393,55.4781,22.82,78,0,11.83,RE,1689527320
354,sovetskaya gavan',48.9723,140.2878,13.86,93,100,1.71,RU,1689527320
355,jining,35.405,116.5814,25.01,67,1,2.62,CN,1689527320
356,huarmey,-10.0681,-78.1522,23.29,70,68,4.01,PE,1689527320
357,lebu,-37.6167,-73.65,9.63,60,100,6.44,CL,1689527320
358,charef,34.621,2.795,35.24,7,0,7.59,DZ,1689527320
359,mount gambier,-37.8333,140.7667,6.82,88,60,2.97,AU,1689527321
360,chibougamau,49.9168,-74.3659,19.79,94,100,3.09,CA,1689527321
361,georgetown,5.4112,100.3354,28.96,65,20,1.03,MY,1689527228
362,san rafael,-34.6177,-68.3301,8.51,33,100,3.24,AR,1689527322
363,nea kallikrateia,40.3167,23.0667,33.98,41,0,3.51,GR,1689527322
364,kailua-kona,19.6406,-155.9956,23.98,84,40,2.06,US,1689527322
